category,screen_name,created_at,text,favorite_count,retweet_count
Sports,rapplerdotcom,2019-12-01 02:28:48,"b""Congratulations to KIM MANGROBANG for winning the GOLD in #SEAGames2019 women's triathlon! \xf0\x9f\x8f\x8a\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x9a\xb4\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f Third go\xe2\x80\xa6 https://t.co/H3EGlapdJd""",1241,209
Sports,abscbnsports,2019-12-01 01:21:42,"b""DOMINANCE \xf0\x9f\xa5\x87\xf0\x9f\xa5\x88\n\nRambo Chicano earned the \xf0\x9f\x87\xb5\xf0\x9f\x87\xad's 1st gold medal in men's triathlon!\n\nKim Remolino then gave the \xf0\x9f\x87\xb5\xf0\x9f\x87\xad silve\xe2\x80\xa6 https://t.co/11nIjCWAQY""",1035,174
Sports,bmarcello,2019-12-01 00:46:31,b'Gus Malzahn has beaten Alabama each time 1 second was added back on the clock. And both plays proved to be the diff\xe2\x80\xa6 https://t.co/4Ii6P0IlPX',1210,146
Sports,RK_sports,2019-12-01 08:08:14,b'Finally watched #Kaithi -Enjoyed the movie. @Karthi_Offl - I have always felt is one of the more underrated actors.\xe2\x80\xa6 https://t.co/15p6ezZfgX',1255,206
Sports,NFL,2019-12-01 01:00:12,b'The definition of dynasty. \xf0\x9f\x99\x8c\n\n\xf0\x9f\x93\xba: #NEvsHOU - TOMORROW at 8:20pm ET on NBC\n\xf0\x9f\x93\xb1: NFL App // Yahoo Sports App https://t.co/2aUy289O8n',506,89
Sports,Vol_Sports,2019-12-01 01:49:49,b'A victorious senior send off! \n\nTennessee wins! \xf0\x9f\x8d\x8a https://t.co/wTcI38BQVs',1352,127
Sports,rapplerdotcom,2019-12-01 02:49:01,b'4th AND 5th #SEAGames2019 GOLD for the PHILIPPINES! \xf0\x9f\x87\xb5\xf0\x9f\x87\xad\xf0\x9f\xa5\x87\n\nMark Jayson Gayon and Mary Joy Renigen win gold in dancesp\xe2\x80\xa6 https://t.co/zGoT8YAQiC',483,106
Sports,Diego5Dario,2019-12-01 00:57:01,b'NEXT UP BASKETBALL CAMP\n\nAll-around basketball development camp for the NEXT MAN UP! \n\n\xf0\x9f\x8f\x80 BASKETBALL SKILLS TRAINING\xe2\x80\xa6 https://t.co/qLzb309Ln4',697,76
Sports,rapplerdotcom,2019-12-01 01:59:55,b'JUST IN. Agatha Wong dominated the #SEAGames2019 wushu competition once again as she defended her title in the wome\xe2\x80\xa6 https://t.co/PM8mHf62Nt',765,110
Sports,BaylorAthletics,2019-12-01 00:17:44,b'\xf0\x9f\x93\x8dNext Stop #Big12FB Championship \xf0\x9f\x8f\x86\n\nSee you in Arlington! \xe2\xac\x87\xef\xb8\x8f #SicEm \xf0\x9f\x90\xbb\n\n\xf0\x9f\x8e\x9f\xef\xb8\x8f https://t.co/aLXFEJzh0t https://t.co/fuRZikqbv2',739,116
Sports,rapplerdotcom,2019-12-01 00:14:59,"b""BREAKING NEWS. John Leerams Chicano bagged the Philippines' first gold medal after dominating the 2019 Southeast As\xe2\x80\xa6 https://t.co/wd1dpw34wm""",161,40
Sports,Joseph_Duarte,2019-12-01 00:17:59,"b'Mike \xe2\x80\x98Doc\xe2\x80\x99 O\xe2\x80\x99Shea, the associate athletics director for sports medicine who has been with @UHCougarFB for 26 years\xe2\x80\xa6 https://t.co/bb6h5KfI0G'",344,54
Sports,Eric_Schmitt,2019-12-01 00:04:53,b'Congrats to my alma mater @DeSmetJesuitHS!  Huge win for @SteepDiesel and his @DeSmetJesuitFB #MAADMen.\n\nWhat an in\xe2\x80\xa6 https://t.co/Qo5xV09Dqi',117,15
